Year,MSL,Std.Dev.
1899,1.866,0.03
1900,1.863,0.03
1901,1.823,0.04
1903,1.88,0.05
1904,1.864,0.025
1905,1.843,0.025
1906,1.826,0.025
1907,1.882,0.025
1908,1.92,0.025
1909,1.901,0.025
1910,1.928,0.025
1911,1.948,0.025
1912,1.903,0.025
1913,1.873,0.025
1914,1.833,0.025
1915,1.875,0.025
1916,1.928,0.025
1917,1.923,0.025
1918,1.905,0.025
1919,1.873,0.025
1920,1.921,0.025
1921,1.866,0.025
1922,1.93,0.025
1923,1.893,0.025
1924,1.937,0.025
1925,1.894,0.025
1926,1.859,0.025
1927,1.894,0.025
1928,1.915,0.025
1929,1.902,0.025
1930,1.883,0.025
1931,1.84,0.025
1932,1.881,0.025
1933,1.882,0.025
1934,1.9,0.025
1935,1.917,0.025
1936,1.895,0.025
1937,1.91,0.025
1938,1.998,0.025
1939,1.952,0.025
1940,1.891,0.025
1941,1.898,0.025
1942,1.888,0.025
1943,1.932,0.025
1944,1.89,0.025
1945,1.901,0.025
1947,1.941,0.025
1948,1.988,0.025
1949,1.965,0.025
1950,1.964,0.025
1951,1.97,0.025
1952,1.906,0.025
1953,1.925,0.025
1954,1.935,0.025
1955,1.98,0.035
1956,2.047,0.025
1957,1.99,0.025
1958,1.964,0.04
1959,1.975,0.025
1960,2,0.025
1961,1.972,0.025
1962,1.982,0.025
1963,1.961,0.025
1964,1.94,0.025
1965,1.926,0.025
1966,1.977,0.025
1967,1.946,0.025
1968,1.95,0.025
1969,1.921,0.025
1970,1.952,0.025
1971,2.04,0.025
1972,1.986,0.025
1973,1.955,0.025
1974,2.012,0.025
1975,1.992,0.025
1976,1.985,0.025
1977,1.952,0.025
1978,1.959,0.025
1979,1.983,0.025
1980,1.97,0.025
1981,1.969,0.025
1982,1.958,0.025
1983,1.928,0.025
1984,1.964,0.025
1985,2.005,0.025
1986,1.986,0.025
1987,1.938,0.025
1988,1.946,0.025
1989,2.031,0.025
1990,1.999,0.025
1991,1.985,0.025
1992,1.978,0.025
1993,1.946,0.025
1994,1.944,0.025
1995,1.997,0.035
1996,2.008,0.025
1997,1.978,0.025
1998,1.987,0.025
1999,2.065,0.025
2000,2.065,0.03
2001,2.088,0.025
2002,2.042,0.025
2003,2.06,0.025
2004,2.026,0.025
2005,2.048,0.025
2006,2.034,0.025
2007,2.014,0.025
2008,2.054,0.025
2009,2.049,0.025
2010,2.008,0.03
2011,2.069,0.025
2012,2.06,0.025
2013,2.084,0.025
2014,2.089,0.025
2015,2.094,0.025
2016,2.11,0.025
2017,2.115,0.025
2018,2.113,0.025
2019,2.091,0.025
2020,2.089,0.025
2021,2.121,0.025
